0.01	506469678673036
0.02	33316811172659
0.03	6977869903501.32
0.04	2359002995364.5
0.05	1040715947684.97
0.06	545107690189.622
0.07	322363110716.96
0.08	208899049080.381
0.09	145516269083.467
0.1	107544704269.185
0.11	83544525150.2993
0.12	67748047739.2051
0.13	57046076227.2551
0.14	49669626100.4308
0.15	44568119175.5417
0.16	41097269779.7701
0.17	38854172216.4564
0.18	37586516360.6538
0.19	37141138722.195
0.2	37434548298.9436
0.21	38436459934.5315
0.22	40161638441.5273
0.23	42667675840.2114
0.24	46057710951.1553
0.25	50488073501.7515
0.26	56181696951.4268
0.27	63449124089.117
0.28	72720269614.4482
0.29	84592144357.5099
0.3	99901042166.6698
0.31	119833221229.593
0.32	146097676275.605
0.33	181201622263.434
0.34	228900535606.738
0.35	294953773253.554
0.36	388433060787.676
0.37	524069057211.694
0.38	726630905676.443
0.39	1039484464474.89
0.4	1542235501535.67
0.41	2389473409247.87
0.42	3902550557512.82
0.43	6808151598124.94
0.44	12935226615845.8
0.45	27585142162057.5
0.46	69452668817618.5
0.47	226985803718725
0.48	1.19148292059292E15
0.49	1.98195351485554E16
